connections_version;connection_from;connection_fromLane;connection_to;connection_toLane
1.9;164239554;0;164239555#0;0
1.9;164239554;1;164239555#0;1
1.9;164239554;2;164239555#0;2
1.9;164239555#0;0;158325336#0;0
1.9;164239555#0;0;164239555#1;0
1.9;164239555#0;1;164239555#1;1
1.9;164239555#0;2;164239555#1;2
1.9;164239555#1;0;158325325;0
1.9;164239555#1;1;158325325;1
1.9;164239555#1;2;158325325;2
1.9;164239562#0;0;164239562#1;0
1.9;164239562#0;1;164239562#1;1
1.9;164239562#1;0;596083278;0
1.9;164239562#1;1;596083278;1
1.9;172289065#1;0;158325332#1;0
1.9;172289065#1;0;172289065#2;0
1.9;172289065#1;1;172289065#2;1
1.9;172289065#1;2;172289065#2;2
1.9;172289065#2;0;596230215#0;0
1.9;172289065#2;1;596230215#0;1
1.9;172289065#2;2;596230215#0;2
1.9;172289065#2;2;596230215#0;3
1.9;186239191#1;0;51215083#1;0
1.9;186239191#1;0;51215082#1;0
1.9;186239191#1;1;51215082#1;1
1.9;186239191#1;2;51215082#1;2
1.9;188690101;0;299265211#0;0
1.9;188690101;0;299265211#0;1
1.9;188690101;0;299265211#0;2
1.9;188690101;0;299265211#0;3
1.9;199500676;0;156559298#0;0
1.9;199500676;0;51981485#1;0
1.9;199500676;1;156559304#0;0
1.9;199500676;2;156559304#0;1
1.9;199500676;3;156559304#0;2
1.9;20438105#0;0;20438105#1;0
1.9;20438105#0;1;20438105#1;1
1.9;20438105#0;2;20438105#1;2
1.9;20438105#0;3;20438105#1;3
1.9;20438105#1;0;415667202;0
1.9;20438105#1;0;gneE3;0
1.9;20438105#1;1;gneE3;1
1.9;20438105#1;2;gneE3;2
1.9;20438105#1;3;gneE3;3
1.9;20439102#0;0;20439102#1.25;0
1.9;20439102#0;0;20439102#1.25;1
1.9;20439102#0;1;20439102#1.25;2
1.9;20439102#0;2;20439102#1.25;3
1.9;20439102#1.25;0;20439102#2;0
1.9;20439102#1.25;1;20439102#2;1
1.9;20439102#1.25;2;20439102#2;2
1.9;20439102#1.25;3;20439102#2;3
1.9;20439102#1.25;3;22790360#0;0
1.9;20439102#2;0;20439102#4;0
1.9;20439102#2;1;20439102#4;1
1.9;20439102#2;2;20439102#4;2
1.9;20439102#2;3;20439102#4;3
1.9;20439102#4;0;37336182;0
1.9;20439102#4;1;37336182;1
1.9;20439102#4;2;37336182;2
1.9;20439102#4;3;37336182;3
1.9;20439110#0;0;20439110#1;0
1.9;20439110#0;1;20439110#1;1
1.9;20439110#1;0;20439110#3;0
1.9;20439110#1;1;20439110#3;1
1.9;20439110#1;1;gneE143;1
1.9;20439110#3;0;20439110#5;0
1.9;20439110#3;1;20439110#5;1
1.9;20439110#5;0;20439110#5.92;0
1.9;20439110#5;0;20439110#5.92;1
1.9;20439110#5;1;20439110#5.92;2
1.9;20439110#5.92;0;gneE109;0
1.9;20439110#5.92;1;678902918;0
1.9;20439110#5.92;2;678902918;1
1.9;220109543;0;401531649;0
1.9;220109543;1;401531649;1
1.9;220109543;2;401531649;2
1.9;220109544;0;22127007#0;0
1.9;220109544;0;22127007#0;1
1.9;220109544;1;22127007#0;2
1.9;220109544;2;22127007#0;3
1.9;22127007#0;0;606141108;0
1.9;22127007#0;0;381750337;0
1.9;22127007#0;1;381750337;1
1.9;22127007#0;2;51214742#0;1
1.9;22127007#0;3;606141108;1
1.9;22127007#0;3;381750337;2
1.9;22127007#0;3;51214742#0;2
1.9;22131088#0;;;
1.9;22649703#3;0;22653476#1;0
1.9;22649703#3;0;22649703#6;0
1.9;22649703#3;1;22649703#6;1
1.9;22649703#3;2;22649703#6;2
1.9;22649703#6;0;22672601#1;0
1.9;22649703#6;0;40422451;0
1.9;22649703#6;1;74548561#1;0
1.9;22649703#6;2;74548561#1;1
1.9;22649704#1;0;22821531#0;0
1.9;22649704#1;1;22821531#0;1
1.9;22649707#0;0;59471461;0
1.9;22649707#0;1;59471461;1
1.9;22649712#1;0;22649707#0;0
1.9;22653472;0;50381783#1a;0
1.9;22653472;1;50381783#1a;1
1.9;22653472;1;22653476#1;1
1.9;22653476#1;0;-22661122#1;0
1.9;22653476#1;0;43118572#0;0
1.9;22653476#1;1;43118572#0;1
1.9;22653476#1;1;-166506065;0
1.9;22653476#1;1;32981087#0;0
1.9;22661122#1;0;43118572#0;0
1.9;22661122#1;0;-166506065;0
1.9;22661122#1;0;32981087#0;0
1.9;22672043#0;0;22672043#1;0
1.9;22672043#0;1;22672043#1;1
1.9;22672043#0;2;22672043#1;2
1.9;22672043#1;0;gneE136;0
1.9;22672043#1;0;39978006#1;0
1.9;22672043#1;1;39978006#1;1
1.9;22672043#1;2;39978006#1;2
1.9;22672601#1;0;22672601#3;0
1.9;22672601#3;0;32981087#0;0
1.9;22672601#3;0;-22661122#1;0
